Data,Produto,Valor
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-12,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
2022-05-13,Apple iPhone 12 (64 GB) - Preto,"4.599,00"
